ID;lat;long;altitude;median_water_depth;name;description;aquifer_name;confinement
P21G1;35.393509;-77.144768;16.8746424;10.009632;Wilmar Fire Tower;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P21G1/;Castle Hayne;Confined
P21K3;35.381484;-77.087762;12.1456704;1.880616;Wilmar;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P21K3/;Surficial;Unconfined
P21K4;35.381484;-77.087762;11.9505984;2.749296;Wilmar;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P21K4/;Castle Hayne;Confined
P21K5;35.381484;-77.087762;12.166092;21.111972;Wilmar;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P21K5/;Black Creek;Confined
P21K6;35.381484;-77.087762;12.156948;2.938272;Wilmar;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P21K6/;Castle Hayne;Confined
P21K7;35.381484;-77.087762;12.0539256;5.141976;Wilmar;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P21K7/;Beaufort;Confined
P21K9;35.381484;-77.087762;12.1209816;20.714208;Wilmar;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P21K9/;Black Creek;Confined
P21N1;35.373997;-77.135278;13.203936;5.568696;Purser;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P21N1/;Castle Hayne;Confined
P21N2;35.373997;-77.135278;13.188696;5.431536;Purser;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P21N2/;Yorktown;Confined
P21N3;35.373997;-77.135278;13.16736;1.133856;Purser;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P21N3/;Surficial;Unconfined
P22U10;35.332429;-77.17249;8.0104488;3.438144;Palmetto Swamp;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P22U10/;Castle Hayne;Confined
P22U6;35.332429;-77.17249;7.9616808;19.360896;Palmetto Swamp;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P22U6/;Black Creek;Confined
P22U7;35.332429;-77.17249;7.9830168;6.592824;Palmetto Swamp;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P22U7/;Peedee;Confined
P22U8;35.332429;-77.17249;8.0013048;3.273552;Palmetto Swamp;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P22U8/;Peedee;Confined
P22U9;35.332429;-77.17249;7.8458568;3.203448;Palmetto Swamp;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P22U9/;Surficial;Unconfined
P24O1;35.371097;-77.409819;8.7063072;17.803368;Grifton Ball Field;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P24O1/;Lower Cape Fear;Confined
P24O2;35.371097;-77.409819;8.7611712;20.20824;Grifton Ball Field;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P24O2/;Upper Cape Fear;Confined
P24O3;35.371097;-77.409819;8.6483952;19.883628;Grifton Ball Field;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P24O3/;Black Creek;Confined
P24O4;35.371097;-77.409819;8.4350352;3.499104;Grifton Ball Field;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/P24O4/;Peedee;Confined
